id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Visa Úc diện doanh nhân 888A	Australia 888A Business Innovation Visa			post_title
s002	h1	VISA ÚC DIỆN DOANH NHÂN {1}888A{/1}	Australia {1}888A{/1} Business Innovation Visa			acf.product_hero_title.product_hero_title_content#1
s003	h3	Visa 888A là gì?	What is the 888A visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Visa 888A là visa thường trú Úc dành cho nhà đầu tư đã có visa 188A diện Doanh nhân đổi mới.	The 888A Business Innovation visa is Australia's permanent visa for investors who already hold a 188A visa in the Business Innovation stream.			acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Nhà đầu tư chuyển từ 188A tạm trú sang 888A thường trú sau khi duy trì kinh doanh và cư trú tại Úc đủ điều kiện.	Investors can move from the 188A provisional visa to 888A permanent residence once they have run the business and met the residence requirements in Australia.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Vợ/chồng và con phụ thuộc có thể cùng được cấp visa.	A spouse or partner and dependent children can be granted the visa at the same time.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Sau khi có 888A và đáp ứng điều kiện cư trú, nhà đầu tư có thể nộp hồ sơ xin quốc tịch Úc.	Once they hold the 888A and meet the residence requirements, investors can apply for Australian citizenship.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	Visa 888A cho phép nhà đầu tư tiếp tục sở hữu và quản lý doanh nghiệp tại Úc theo diện thường trú.	The 888A visa lets the investor continue to own and manage the Australian business as a permanent resident.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI THƯỜNG TRÚ NHÂN ÚC	Benefits of Australian permanent residence	88%: Benefits of Maltese permanent residence		acf.product_benefits_title
s011	h3	Sinh sống tự do tại Úc	Freedom to live anywhere in Australia			acf.product_benefits_items[0].product_benefits_item_title
s012	li	Cả gia đình được sinh sống, học tập, làm việc và kinh doanh tại bất kỳ bang nào của Úc.	The whole family can live, study, work, and run a business in any state or territory of Australia.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Phúc lợi thường trú nhân	Permanent resident benefits	100%: Permanent resident benefits		acf.product_benefits_items[1].product_benefits_item_title
s014	li	Gia đình được tiếp cận y tế công, giáo dục và an sinh xã hội theo diện thường trú nhân Úc.	The family is eligible for public health care, education, and social security as Australian permanent residents.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Tự do đi lại Việt Nam – Úc	Freedom to travel in and out of Australia			acf.product_benefits_items[2].product_benefits_item_title
s016	li	Ra vào Úc thuận tiện trong thời hạn thẻ thường trú.	Entering and leaving Australia is straightforward while the travel facility on the permanent visa remains valid.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Lộ trình quốc tịch Úc	A path to Australian citizenship	92%: A path to citizenship		acf.product_benefits_items[3].product_benefits_item_title
s018	li	Có thể xin quốc tịch Úc khi đáp ứng điều kiện cư trú và nhân thân theo quy định.	Investors can apply for Australian citizenship once they meet the residence and character requirements that apply at the time.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h2	ƯU ĐIỂM VISA 888A	Advantages of the 888A visa			acf.product_advantages_title
s020	h3	Thường trú nhân Úc	Australian permanent residence			acf.product_advantages_items[0].product_advantages_item_title
s021	li	Từ visa 188A tạm trú chuyển sang 888A thường trú khi đáp ứng điều kiện.	Holders of the 188A provisional visa move to 888A permanent residence once the requirements are met.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s022	h3	Tiếp tục kinh doanh tại Úc	Keep running the business in Australia			acf.product_advantages_items[1].product_advantages_item_title
s023	li	Nhà đầu tư tiếp tục sở hữu, quản lý và phát triển doanh nghiệp tại Úc.	The investor continues to own, manage, and grow the Australian business.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s024	h3	Gia đình cùng hưởng quyền thường trú	Permanent residence for the whole family			acf.product_advantages_items[2].product_advantages_item_title
s025	li	Vợ/chồng và con phụ thuộc có thể cùng được cấp visa.	A spouse or partner and dependent children can be granted the visa at the same time.		trung:s006	acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s026	h3	Lộ trình quốc tịch	A path to citizenship	100%: A path to citizenship		acf.product_advantages_items[3].product_advantages_item_title
s027	li	Sau khi có thường trú và đáp ứng điều kiện, có thể xét quốc tịch Úc.	Once they hold permanent residence and meet the requirements, investors can be considered for Australian citizenship.			acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s028	h2	ĐIỀU KIỆN CHUYỂN 188A → 888A	Requirements for moving from 188A to 888A			acf.product_conditions_title
s029	h3	Kinh doanh và sở hữu	Ownership and operation of the business			acf.product_conditions_items[0].product_conditions_item_title
s030	li	Thành lập hoặc mua lại doanh nghiệp tại Úc.	Establish or acquire a business in Australia.			acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s031	li	Trực tiếp điều hành, quản lý doanh nghiệp.	Run and manage that business directly.			acf.product_conditions_items[0].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s032	li	Sở hữu tối thiểu 30% vốn trong doanh nghiệp, hoặc theo ngưỡng quy định nếu doanh thu doanh nghiệp cao hơn mức quy định.	Hold at least a 30% ownership stake in the business, or the stake prescribed where the business turnover exceeds the prescribed level.			acf.product_conditions_items[0].product_conditions_item_bullets[2].product_conditions_item_bullet_text
s033	h3	Doanh thu và tài sản	Turnover and assets			acf.product_conditions_items[1].product_conditions_item_title
