id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Visa Úc diện đầu tư trọng yếu 888C	Australia 888C Significant Investor Visa			post_title
s002	h1	THƯỜNG TRÚ NHÂN ÚC — VISA {1}888C{/1}	Australian Permanent Residence — {1}888C{/1} Significant Investor Visa			acf.product_hero_title.product_hero_title_content#1
s003	h3	Visa 888C là gì?	What is the 888C visa?			acf.product_hero_content[0].product_hero_content_title
s004	li	Visa thường trú vĩnh viễn (PR) dành cho nhà đầu tư đã giữ Visa 188C đủ điều kiện.	The 888C Significant Investor visa is Australia's permanent residence (PR) visa for investors who hold an eligible 188C visa.		#bo-qua-so: thêm tên diện 888C vào câu đầu để nguyên cụm từ khoá chính nằm trong 150 chữ đầu bài; nguồn chỉ ghi 188C	acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Cả gia đình (vợ/chồng, con phụ thuộc) cùng được cấp PR.	The whole family — spouse or partner and dependent children — can be granted PR at the same time.			acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s006	li	Không cần đầu tư thêm.	No further investment is required.			acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s007	li	Sau khi có 888C và đủ điều kiện cư trú, gia đình có thể tiến tới lộ trình quốc tịch Úc.	Once they hold the 888C and meet the residence requirements, the family can move toward Australian citizenship.			acf.product_hero_content[0].product_hero_content_text[3].product_hero_content_text_item
s008	li	888C là bước lên thường trú dành cho nhà đầu tư đã giữ 188C; diện 188/888 (BIIP) đã ngừng nhận hồ sơ EOI mới.	The 888C is the permanent residence step for investors who already hold a 188C; the 188/888 program (BIIP) has stopped accepting new expressions of interest.			acf.product_hero_content[0].product_hero_content_text[4].product_hero_content_text_item
s009	cta	Đăng ký tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	h2	QUYỀN LỢI THƯỜNG TRÚ NHÂN ÚC	Benefits of Australian permanent residence	88%: Benefits of Maltese permanent residence		acf.product_benefits_title
s011	h3	Sinh sống, học tập, làm việc & kinh doanh tại Úc	Live, study, work, and do business in Australia			acf.product_benefits_items[0].product_benefits_item_title
s012	li	Tự do sinh sống, học tập, làm việc & kinh doanh tại mọi bang của Úc.	Freedom to live, study, work, and run a business in any state or territory of Australia.			acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s013	h3	Hưởng quyền của thường trú nhân	The rights of a permanent resident			acf.product_benefits_items[1].product_benefits_item_title
s014	li	Y tế Medicare, an sinh xã hội, giáo dục công — theo điều kiện cư trú (đủ điều kiện sau khi có 888C).	Medicare, social security, and public education are available, subject to the residence conditions, once the 888C is granted.			acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s015	h3	Tự do đi lại Việt Nam – Úc	Freedom to travel in and out of Australia			acf.product_benefits_items[2].product_benefits_item_title
s016	li	Tự do đi lại giữa Việt Nam và Úc.	Travel in and out of Australia freely as a permanent resident.			acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s017	h3	Lộ trình nhập quốc tịch Úc	A path to Australian citizenship			acf.product_benefits_items[3].product_benefits_item_title
s018	li	Lộ trình nhập quốc tịch Úc khi đáp ứng điều kiện cư trú thực tế & các yêu cầu nhập tịch (cấp độ quyền lợi tách riêng với PR).	A path to Australian citizenship opens once the physical residence requirements and the other citizenship criteria are met; citizenship is assessed separately from PR.			acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s019	h2	ƯU ĐIỂM VISA 888C	Advantages of the 888C visa			acf.product_advantages_title
s020	h3	Cả gia đình lấy PR	PR for the whole family			acf.product_advantages_items[0].product_advantages_item_title
s021	li	Cả gia đình đủ điều kiện có thể được cấp thường trú nhân Úc.	Every eligible family member can be granted Australian permanent residence.			acf.product_advantages_items[0].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s022	h3	Không cần đầu tư thêm	No further investment required			acf.product_advantages_items[1].product_advantages_item_title
s023	li	Sau khi đáp ứng điều kiện từ visa 188C, nhà đầu tư không cần đầu tư thêm để xin 888C.	Once the requirements carried over from the 188C visa are met, investors do not have to invest again to apply for the 888C.			acf.product_advantages_items[1].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s024	h3	Yêu cầu cư trú linh hoạt	A flexible residence requirement			acf.product_advantages_items[2].product_advantages_item_title
s025	li	Đương đơn ≥ 40 ngày/năm, hoặc vợ/chồng ≥ 180 ngày/năm trong thời gian giữ 188C.	The applicant needs to spend 40 days or more a year in Australia, or the spouse or partner 180 days or more a year, while holding the 188C.			acf.product_advantages_items[2].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s026	h3	Không cần thi điểm di trú	No points test			acf.product_advantages_items[3].product_advantages_item_title
s027	li	888C là bước chuyển tiếp cho nhà đầu tư đã giữ 188C đủ điều kiện, không phải hồ sơ điểm di trú mới.	The 888C is the transition step for investors who already hold an eligible 188C, not a new points-tested application.			acf.product_advantages_items[3].product_advantages_item_bullets[0].product_advantages_item_bullet_text
s028	h2	ĐIỀU KIỆN LÊN THƯỜNG TRÚ 888C	Requirements for 888C permanent residence			acf.product_conditions_title
s029	h3	Duy trì khoản đầu tư	Maintain the investment			acf.product_conditions_items[0].product_conditions_item_title
s030	li	Duy trì khoản đầu tư theo Visa 188C đến thời điểm nộp 888C.	Keep the investment made under the 188C visa in place up to the date the 888C is lodged.			acf.product_conditions_items[0].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s031	h3	Đáp ứng điều kiện cư trú	Meet the residence requirement			acf.product_conditions_items[1].product_conditions_item_title
s032	li	Đương đơn ≥ 40 ngày/năm, hoặc vợ/chồng ≥ 180 ngày/năm.	The applicant needs to spend 40 days or more a year in Australia, or the spouse or partner 180 days or more a year.			acf.product_conditions_items[1].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s033	li	Không cộng dồn thời gian cư trú giữa hai người.	Time spent in Australia by the applicant and by the spouse or partner cannot be added together.			acf.product_conditions_items[1].product_conditions_item_bullets[1].product_conditions_item_bullet_text
s034	h3	Tuân thủ pháp luật	Compliance with the law			acf.product_conditions_items[2].product_conditions_item_title
s035	li	Tuân thủ pháp luật, lý lịch tư pháp trong sạch.	Compliance with the law and a clean criminal record, evidenced by a police clearance certificate.			acf.product_conditions_items[2].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s036	h3	Cam kết gắn bó với Úc	A commitment to Australia			acf.product_conditions_items[3].product_conditions_item_title
s037	li	Có nguyện vọng tiếp tục đầu tư/kinh doanh tại Úc (cam kết gắn bó với bang — Commitment to State).	An intention to continue investing or doing business in Australia (the Commitment to State).			acf.product_conditions_items[3].product_conditions_item_bullets[0].product_conditions_item_bullet_text
s038	h2	QUY TRÌNH XIN VISA 888C	The 888C application process	85%: The EB-1C application process		acf.product_process_title
s039	h3	Duy trì đầu tư 188C & đáp ứng điều kiện cư trú	Maintain the 188C investment and meet the residence requirement			acf.product_process_steps[0].product_process_step_title
s040	p	Duy trì khoản đầu tư theo chương trình 188C và đáp ứng yêu cầu cư trú.	Keep the investment in place under the 188C program and meet the residence requirement.			acf.product_process_steps[0].product_process_step_desc
s041	h3	Chuẩn bị & nộp hồ sơ 888C	Prepare and lodge the 888C application	88%: Prepare and file your application		acf.product_process_steps[1].product_process_step_title
s042	p	Tổng hợp hồ sơ chứng minh điều kiện đầu tư, cư trú và nộp đơn xin visa 888C.	Assemble the evidence on the investment and residence requirements, then lodge the 888C visa application.			acf.product_process_steps[1].product_process_step_desc
s043	h3	Nhận Visa 888C	Grant of the 888C visa			acf.product_process_steps[2].product_process_step_title
s044	p	Nhận Visa 888C (thường trú nhân vĩnh viễn) nếu hồ sơ được chấp thuận.	You receive the 888C visa, which grants permanent residence, once the application is approved.			acf.product_process_steps[2].product_process_step_desc
s045	cta	Xem tất cả dự án	View all projects	100%: View all projects		acf.product_projects_cta_label
s046	h2	Có thể bạn quan tâm	You may also be interested in	100%: You may also be interested in		acf.product_care_title
s047	h3	Có thể bạn quan tâm	You may also be interested in	100%: You may also be interested in	trung:s046	acf.product_care_service_title
s048	p	Tìm hiểu các dịch vụ tư vấn từ IMM Group:	Explore IMM Group's advisory services:	100%: Explore IMM Group's advisory services:		acf.product_care_service_desc#1
s049	li	Đầu tư định cư Úc	Australia investment immigration	100%: Australia investment immigration		acf.product_care_service_links[0].product_care_service_link_title
s050	li	Visa Úc diện doanh nhân 188A	Australia 188A Business Innovation visa			acf.product_care_service_links[1].product_care_service_link_title
s051	li	Visa Úc diện đầu tư 188B	Australia 188B Investor visa			acf.product_care_service_links[2].product_care_service_link_title
s052	li	Visa Úc diện đầu tư trọng yếu 188C	Australia 188C Significant Investor visa			acf.product_care_service_links[3].product_care_service_link_title
s053	li	Visa Úc diện doanh nhân 888A	Australia 888A Business Innovation visa			acf.product_care_service_links[4].product_care_service_link_title
s054	li	Visa Úc diện đầu tư 888B	Australia 888B Investor visa			acf.product_care_service_links[5].product_care_service_link_title
s055	li	Visa Úc diện National Innovation Visa (NIV)	Australia National Innovation visa (NIV)			acf.product_care_service_links[6].product_care_service_link_title
s056	h3	Hiểu về nước Úc	Understanding Australia	86%: Understanding America		acf.product_care_topics_title
s057	p	Chuyên trang IMM Group tổng hợp các thông tin hữu ích với các chủ đề:	IMM Group's resource hub brings together practical information on the following topics:	100%: IMM Group's resource hub brings together practical information on the following topics:		acf.product_care_topics_desc#1
s058	li	Cuộc sống tại Úc	Living in Australia	87%: Living in the U.S.		acf.product_care_topics_links[0].product_care_topics_link_title
s059	li	Thuế Úc	Taxes in Australia			acf.product_care_topics_links[1].product_care_topics_link_title
s060	li	Kinh doanh tại Úc	Doing business in Australia	88%: Doing business in the U.S.		acf.product_care_topics_links[2].product_care_topics_link_title
s061	li	Giáo dục tại Úc	Education in Australia	86%: Education in the U.S.		acf.product_care_topics_links[3].product_care_topics_link_title
s062	li	Trợ cấp, phúc lợi, an sinh xã hội Úc	Allowances, benefits and social programs in Australia	94%: Welfare, benefits and Social Security in the U.S.		acf.product_care_topics_links[4].product_care_topics_link_title
s063	li	Du lịch Úc	Travel in Australia			acf.product_care_topics_links[5].product_care_topics_link_title
s064	li	Những người Việt thành công trên đất Úc	Immigrant success stories in Australia	94%: Immigrant success stories in the U.S.		acf.product_care_topics_links[6].product_care_topics_link_title
s065	li	Những câu chuyện định cư Úc truyền cảm hứng	Inspiring Australian immigration journeys	95%: Inspiring U.S. immigration journeys		acf.product_care_topics_links[7].product_care_topics_link_title
s066	h2	Câu hỏi thường gặp về Visa 888C	888C visa FAQs	88%: EB-1C green card FAQs		acf.product_faq_title
s067	h4	888C khác gì 188A/188B?	How is the 888C different from the 188A and the 188B?			acf.product_faq_items[0].product_faq_item_question
s068	p	Khác biệt chính	The main differences			acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_heading
s069	li	Diện 188C/888C: không giới hạn độ tuổi, không cần thang điểm di trú, yêu cầu cư trú linh hoạt (40 ngày/năm). Thời gian xử lý tùy hồ sơ và chính sách hiện hành. Đổi lại, mức đầu tư cao hơn 188A/188B.	The 188C and 888C streams have no age limit, no points test, and a flexible residence requirement (40 days per year). Processing times depend on the individual case and on current policy. The trade-off is a higher level of investment than for the 188A and the 188B.			acf.product_faq_items[0].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s070	h4	Rủi ro đầu tư là gì?	What are the investment risks?	100%: What are the investment risks?		acf.product_faq_items[1].product_faq_item_question
s071	p	Rủi ro chính	Key risks	100%: Key risks		acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_heading
s072	li	Đầu tư qua quỹ là khoản at-risk: giá trị có thể biến động theo hiệu quả quỹ.	A fund investment is an at-risk investment: its value can move with the performance of the fund.			acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s073	li	Rủi ro hồ sơ đến từ việc chọn quỹ chưa đạt chuẩn, nguồn tiền chứng minh chưa chặt, hoặc đơn vị tư vấn thiếu kinh nghiệm.	Application risk comes from choosing a fund that does not meet the standard, from a source-of-funds explanation that is not fully documented, or from an advisor without the right experience.			acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_bullets[1].product_faq_item_section_bullet_text
s074	li	IMM thẩm định kỹ trước khi ký hợp đồng để giảm thiểu rủi ro.	IMM Group reviews the fund and the file in detail before any contract is signed, to help manage that risk.	85%: IMM Group reviews your file and the project in detail before any contract is signed, to limit these risks.		acf.product_faq_items[1].product_faq_item_sections[0].product_faq_item_section_bullets[2].product_faq_item_section_bullet_text
s075	h4	Quỹ thua lỗ có còn đủ điều kiện 888C?	Is the investor still eligible for the 888C if the fund loses money?			acf.product_faq_items[2].product_faq_item_question
s076	p	Ảnh hưởng của quỹ thua lỗ	The effect of a loss-making fund			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_heading
