id	loai	vi	en	tm	ghi_chu	src
s001	tieu-de	Visa định cư Mỹ EB-5	U.S. EB-5 Visa			post_title
s002	h1	Visa Định Cư Mỹ {1}EB-5{/1}	{1}EB-5{/1} Visa: A Path to a U.S. Green Card for Your Whole Family			acf.product_hero_title.product_hero_title_content#1
s003	h3	EB-5 là gì?	What is the EB-5 visa program?	100%: What is the EB-5 visa program?		acf.product_hero_content[0].product_hero_content_title
s004	li	Chương trình đầu tư định cư Mỹ, được Quốc hội Mỹ thông qua năm 1990	The EB-5 visa is a U.S. investment immigration program established by Congress in 1990	100%: The EB-5 visa is a U.S. investment immigration program established by Congress in 1990		acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_item
s005	li	Mức đầu tư tối thiểu **800.000 USD** - khoảng 21 tỷ đồng	Minimum investment: **US$800,000** in a Targeted Employment Area (TEA) project	100%: Minimum investment: **US$800,000** in a Targeted Employment Area (TEA) project	"#bo-qua-so: bỏ ""khoảng 21 tỷ đồng"" — chỉ nhắc lại số USD, theo style guide mục 4"	acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_subs[0].product_hero_content_text_sub_item#1
s006	li	Tạo 10 việc làm toàn thời gian cho người Mỹ	Creation of 10 full-time jobs for U.S. workers	100%: Creation of 10 full-time jobs for U.S. workers		acf.product_hero_content[0].product_hero_content_text[0].product_hero_content_text_subs[1].product_hero_content_text_sub_item
s007	li	Cả gia đình nhận thẻ xanh: vợ/chồng và con dưới 21 tuổi	Green cards for the whole family: you, your spouse, and your unmarried children under 21	100%: Green cards for the whole family: you, your spouse, and your unmarried children under 21		acf.product_hero_content[0].product_hero_content_text[1].product_hero_content_text_item
s008	li	Đầu tư EB-5 qua Trung tâm vùng - lộ trình gọn, an toàn, minh bạch	EB-5 investment through a regional center: a streamlined, transparent process with structured risk management	100%: EB-5 investment through a regional center: a streamlined, transparent process with structured risk management		acf.product_hero_content[0].product_hero_content_text[2].product_hero_content_text_item
s009	cta	Yêu cầu tư vấn	Book a consultation	100%: Book a consultation		acf.product_hero_cta[0].product_hero_cta_label
s010	p	MỐC QUAN TRỌNG CHO NHÀ ĐẦU TƯ EB-5	Key date for EB-5 investors	100%: Key date for EB-5 investors		acf.product_important_content#1
s011	p	Hạn cuối nộp hồ sơ {1}I-526E{/1}:{br} {2}30 / 09 / 2026{/2}	Grandfathering deadline for Form {1}I-526E{/1} filings:{br} {2}September 30, 2026{/2}	94%: Grandfathering cutoff for Form I-526E filings: September 30, 2026		acf.product_important_content#2
s012	p	Khi đầu tư EB-5, thời điểm nộp hồ sơ là yếu tố then chốt để kiểm soát chi phí và rủi ro pháp lý. Mốc **30/09/2026** ảnh hưởng trực tiếp đến **mức vốn 800.000 USD**, quyền lợi pháp lý và độ ổn định của hồ sơ.	For EB-5 investors, the timing of your filing is key to managing costs and legal risk. The **September 30, 2026** date directly affects the **US$800,000 investment amount**, your legal rights, and the stability of your petition.	100%: For EB-5 investors, the timing of your filing is key to managing costs and legal risk. The **September 30, 2026** date directly affects the **US$800,000 investment amount**, your legal rights, and the stability of your petition.		acf.product_important_content#3
s013	h3	Cơ chế Grandfathering — Bảo lưu hồ sơ	Grandfathering protection for filed petitions	100%: Grandfathering protection for filed petitions		acf.product_important_content#4
s014	p	Theo RIA 2022, chỉ hồ sơ **I-526E** nộp trước **30/09/2026** được bảo lưu các điều kiện hiện hành nếu chương trình có điều chỉnh sau này.	Under the EB-5 Reform and Integrity Act of 2022 (RIA), only **Form I-526E** petitions filed by **September 30, 2026** are grandfathered under the current requirements if the program is changed later.	100%: Under the EB-5 Reform and Integrity Act of 2022 (RIA), only **Form I-526E** petitions filed by **September 30, 2026** are grandfathered under the current requirements if the program is changed later.		acf.product_important_content#5
s015	p	Giữ mức vốn	Preserve the investment amount	100%: Preserve the investment amount		acf.product_important_content#6
s016	h3	800.000 USD	US$800,000	100%: US$800,000		acf.product_important_content#7
s017	p	Giữ tiêu chí	Preserve the current criteria	100%: Preserve the criteria		acf.product_important_content#8
s018	h3	Xét duyệt & quyền lợi	Adjudication standards and benefits	100%: Adjudication standards and benefits		acf.product_important_content#9
s019	p	Bảo vệ hồ sơ	Petition protection	100%: Petition protection		acf.product_important_content#10
s020	h3	Khi luật điều chỉnh	If the law changes	100%: If the law changes		acf.product_important_content#11
s021	h2	QUYỀN LỢI CỦA VISA ĐỊNH CƯ MỸ EB-5	Benefits of the EB-5 visa	100%: Benefits of the EB-5 visa		acf.product_benefits_title
s022	h3	Thẻ xanh cho cả gia đình	Green cards for your whole family	100%: Green cards for your whole family		acf.product_benefits_items[0].product_benefits_item_title
s023	li	Vợ/chồng và con dưới 21 tuổi	Your spouse and unmarried children under 21	100%: Your spouse and unmarried children under 21		acf.product_benefits_items[0].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s024	h3	Quyền lợi như công dân Mỹ	Many of the same rights as U.S. citizens	100%: Many of the same rights as U.S. citizens		acf.product_benefits_items[1].product_benefits_item_title
s025	li	Tự do sinh sống, học tập và làm việc trên toàn nước Mỹ	Freedom to live, study, and work anywhere in the United States	100%: Freedom to live, study, and work anywhere in the United States		acf.product_benefits_items[1].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s026	h3	Hộ chiếu Mỹ quyền lực	A path to a U.S. passport	100%: A path to a U.S. passport		acf.product_benefits_items[2].product_benefits_item_title
s027	li	Tự do đi lại toàn cầu - hộ chiếu Mỹ miễn visa hoặc visa điện tử tới hơn 180 quốc gia	Freedom to travel globally: once naturalized, you can apply for a U.S. passport, which offers visa-free or eVisa access to 180+ destinations	100%: Freedom to travel globally: once naturalized, you can apply for a U.S. passport, which offers visa-free or eVisa access to 180+ destinations		acf.product_benefits_items[2].product_benefits_item_bullets[0].product_benefits_item_bullet_text
s028	h3	Ra vào Mỹ không giới hạn	Travel in and out of the U.S. as needed	100%: Travel in and out of the U.S. as needed		acf.product_benefits_items[3].product_benefits_item_title
s029	li	Tự do đi lại mọi lúc	Travel when your plans require, while maintaining your permanent residence	100%: Travel when your plans require, while maintaining your permanent residence		acf.product_benefits_items[3].product_benefits_item_bullets[0].product_benefits_item_bullet_text
